cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-11,RAM,0.0023,0.0542,1.63
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-11,Storage,0.0000,0.0000,0.00
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-12,CPU,0.0270,0.6485,20.10
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-12,RAM,0.0034,0.0808,2.51
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2024-12,Storage,0.0000,0.0000,0.00
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-01,CPU,0.0170,0.4079,12.64
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-01,RAM,0.0023,0.0546,1.69
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-01,Storage,0.0000,0.0000,0.00
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-02,CPU,0.0121,0.2915,8.16
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-02,RAM,0.0017,0.0401,1.12
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-02,Storage,0.0000,0.0000,0.00
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-03,CPU,0.0076,0.1812,5.62
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-03,RAM,0.0009,0.0224,0.69
6a058801-d466-4ebc-bbec-aa2256dcbf2b,eks-qa-bff-nv,2024-11-28,2025-03,Storage,0.0000,0.0000,0.00
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-11,CPU,0.0185,0.4440,13.32
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-11,RAM,0.0023,0.0559,1.68
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-11,Storage,0.0000,0.0000,0.00
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-12,CPU,0.0258,0.6193,19.20
343620ca-7f9b-46fb-bd46-690f33cd1991,eks-dev-bff-nv,2024-11-28,2024-12,RAM,0.0031,0.0752,2.33
